country,policy_description,Summary
Viet Nam,"The Decision contains provisions for funding, incentives (including a feed-in tariff and import duty exemption) and investment in the construction of solar power projects. It also sets out the responsibilities of the relevant state agencies and ministries including the Ministry of Industry and Trade, the Ministry of Planning and Investment and the Ministry of Finance.","The policy outlines funding and incentives for solar power projects, including a feed-in tariff and import duty exemption. It details the roles of key state agencies, such as the Ministry of Industry and Trade, the Ministry of Planning and Investment, and the Ministry of Finance, in overseeing these initiatives."
Norway,"Enova offers investment aid to energy measures in buildings. The aid is given to measures that reduce energy use and converts energy sources to renewable ones. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Enova provides financial support for energy efficiency improvements and the transition to renewable energy sources in buildings. This aid targets initiatives that aim to reduce energy consumption and promote the use of renewable energy.
Viet Nam,"The PDP8 initiative charts a new course in energy development, prioritizing renewable sources. It aims to boost renewable power capacity, targeting 48% by 2030 and 65.8-71% by 2050. Simultaneously, it plans to phase out coal power entirely by 2050, reducing its share from 20% in 2030 to 0%.","The PDP8 initiative focuses on advancing renewable energy development, with goals to increase renewable power capacity to 48% by 2030 and 65.8-71% by 2050. It also aims to eliminate coal power completely by 2050, decreasing its contribution from 20% in 2030 to 0%."
Mexico,"Under the regulation, PEMEX are required to submit an economic analysis of controlled destruction plans. Technical provisions are set forth to assist PEMEX to evaluate and plan oil field operations regarding flaring and venting activities. A maximum limit of 80% to 95% of the percentage of gas per production that used to be vented or burnt (if it used to be >2% to","The policy mandates that PEMEX must provide an economic analysis for controlled destruction plans related to oil field operations. It includes technical guidelines to help PEMEX assess and plan for flaring and venting activities. Additionally, there is a cap on the percentage of gas that can be vented or burned, limiting it to a maximum of 80% to 95% of the previously vented or burned gas, applicable if the original percentage was greater than 2%."
China,"""In specific, by 2017, the level of inhalable particulate matter in cities above prefecture level will be dropped by at least 10% against 2012 level and the days with good air quality will be increased year on year. The level of fine particulate matter in Beijing-Tianjin-Hebei Province, the Yangtze River Delta and the Pearl River Delta will be cut by 25%, 20% and 15% respectively and the annual concentration of fine particulate matter in Beijing will be kept at 60g /m3.""
""To achieve above objectives, the Action Plan defines ten measures. First, enhancing overall treatment and reducing discharges of multiple pollutants. Effort will be made to rectify small coal-firing boilers and accelerate construction of desulphurization, denitration and dust removal projects in key sectors. Flying dust and cooking fume pollution from the catering services will be controlled. Hastened steps will be taken to eliminate yellow label vehicles and old vehicles, promote public transport, new energy vehicles and upgrade the quality of fuel oil. Second, adjusting and optimizing industrial structure and promoting upgrade of economic transition. We will keep a firm grip on newly added production capacity in high energy consumption and high emission industries, accelerate elimination of backward production capacity and resolutely put an end to illegal projects under construction in industries with serious overcapacity. Third, speeding up technological reform of enterprises and improving the capability of scientific innovation. We will boost the development of circular economy, foster the environmental industry and promote innovative development and industrialization of major environmental equipment and products. Fourth, quickening the step to adjust energy structure and increasing the supply of clean energy.""
""By 2017, consumption of coal will fall to below 65% in terms of total energy consumption."" (http://english.mep.gov.cn/News_service/infocus/201309/t20130924_260707.htm)","The policy aims to reduce air pollution in urban areas by 2017, targeting a minimum 10% decrease in inhalable particulate matter compared to 2012 levels, while increasing days of good air quality. Specific reductions in fine particulate matter are set for key regions: 25% in Beijing-Tianjin-Hebei, 20% in the Yangtze River Delta, and 15% in the Pearl River Delta, with Beijing's annual fine particulate matter concentration capped at 60g"
China,"Since 2002, bioethanol producers in China have benefitted from subsidies, as well as tax reductions or exemptions of VAT or import duties. These reductions and deductions have totalled approximately CNY 190 million, and the Ministry of Finance has provided CNY 2 billion in subsidies to cover losses.
The subsidy in 2006 was CNY 1373 per MT of fuel ethanol produced. Starting in 2002, most fuel ethanol produced was grain-based. However, a moratorium on such ethanol plants was imposed as of December 2006 by the NDRC and Ministry of Finance, lasting for a year and a half.
The government's policy was to substitute non-grain ethanol for grain ethanol, and not to compete with food requirements. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Since 2002, Chinese bioethanol producers have received significant financial support, including approximately CNY 190 million in tax reductions and exemptions, along with CNY 2 billion in subsidies from the Ministry of Finance to offset losses. In 2006, the subsidy amounted to CNY 1373 per metric ton of fuel ethanol produced, primarily from grain sources. However, a moratorium on new grain-based ethanol plants was imposed in December 2006 by the National Development and Reform Commission ("
Singapore,"The Energy Market Authority (EMA), the Ministry of the Environment, Water Resources (MEWR) and SP Group today announced three new initiatives aimed at empowering households to use electricity more efficiently. These initiatives are:
Advanced meters that will give all household consumers access to their half-hourly electricity usage via the SP Utilities mobile app
Enhanced SP Utilities mobile app to encourage households to adopt sustainable habits and save electricity
Customised reports on households electricity consumption and energy saving tips","The Energy Market Authority (EMA), the Ministry of the Environment, Water Resources (MEWR), and SP Group have launched three initiatives to help households use electricity more efficiently. These include: 

1. Advanced meters providing access to half-hourly electricity usage through the SP Utilities mobile app.
2. An enhanced SP Utilities app designed to promote sustainable habits and electricity savings.
3. Customized reports on electricity consumption along with energy-saving tips for households."
Mexico,"Legislative. The National Programme for Sustainable Use of Energy 2014-2018, adopted on 28 April 2014 (following the first edition 2009-2012) is based on this law. Sets indicators to be attained by 2018, see source for Details.
This law was abolished by the Energy Transition Law (2015).","The ""National Programme for Sustainable Use of Energy 2014-2018,"" adopted on April 28, 2014, builds upon an earlier version from 2009-2012 and establishes specific indicators to be achieved by 2018. However, this program was later abolished by the Energy Transition Law in 2015."
China,"Chinas updated NDC goals are as follows:
- Aims to have CO2 emissions peak before 2030 and achieve carbon neutrality before 2060
- To lower CO2 emissions per unit of GDP by over 65% from the 2005 level
- To increase the share of non-fossil fuels in primary energy consumption to around 25%
- To increase the forest stock volume by 6 billion cubic meters from the 2005 level
- To bring its total installed capacity of wind and solar power to over 1.2 billion kilowatts by 2030","China's updated Nationally Determined Contributions (NDC) include the following goals: 

- Achieve peak CO2 emissions before 2030 and reach carbon neutrality by 2060.
- Reduce CO2 emissions per unit of GDP by over 65% from 2005 levels.
- Raise the share of non-fossil fuels in primary energy consumption to approximately 25%.
- Increase forest stock volume by 6 billion cubic meters compared to 2005 levels.
- Expand total installed capacity"
Indonesia,"The programme is structured around two phases: piloting (20152019) and full-scale implementation (20202030). The key measures taken under the programme include: public transport system improvement, investments in energy-efficient buses, investments in infrastructure and improved planning. The projected GHG mitigation effect of the programme is 18.673 MtCO2e over the period 20202030 (CAT, 2019:37).","The policy is divided into two phases: a pilot phase from 2015 to 2019 and a full-scale implementation phase from 2020 to 2030. Key actions include enhancing the public transport system, investing in energy-efficient buses, improving infrastructure, and better planning. It is projected to reduce greenhouse gas emissions by 18.6 to 73 million tons of CO2 equivalent during the 2020-2030 period."
Belgium,"In 1992 the Flemish Region started an action programme to promote Company Transportation/ Commuter plans. These plans mainly consist of bus services and carpooling, on the level of the individual company or several neighbouring enterprises. Mainly large companies situated in urban areas participated in this programme on a voluntary basis (about 20 companies during the period 1994-99) and received financial support from the Flemish Region. The Flemish government has created a ""commuterfund"". Companies and non-profit organisations which develop a mobility action plan in order to support a significant modal shift among their employees can get 50% funding of these initiatives from the ""commuterfund"" during the first 4 years. In each Flemish province a mobility desk was created, where companies can get assistance and advice on the development of their commuter plans. In addition, companies pay back at least 56-64.9% of the cost of a public transport season ticket to their employees. If the company decides to pay back 80% of the ticket price, the authorities pay back the remaining 20%. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","In 1992, the Flemish Region launched a program to encourage Company Transportation and Commuter plans, primarily focusing on bus services and carpooling for individual companies or neighboring enterprises. The initiative, which was voluntary and attracted around 20 large urban companies between 1994 and 1999, provided financial support through a ""commuterfund."" This fund offers 50% funding for companies and non-profits that implement mobility action plans aimed at significantly changing employee commuting habits, available for the"
Canada,"""In 1997, the Government of Canada introduced a Model National Energy Code for Buildings (MNEBC 1997), which augmented the existing National Building Code with a set of energy-specific criteria on top of the National Building Codes (NBC) existing health and safety requirements. National Building Codes in Canada do not have force in law, and are adopted (or adapted) by jurisdictions (provinces and territories) on an individual basis"" (IEA, 2011) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","In 1997, the Government of Canada introduced the Model National Energy Code for Buildings (MNEBC 1997), which added energy-specific criteria to the existing National Building Code (NBC) focused on health and safety. The NBC itself does not have legal force and is implemented by individual provinces and territories in Canada."
Spain,"The Climate Change Policy Coordination Commission (CCPCC) is a coordination body between the central administration, autonomous communities and local authorities for all matters related to climate change. Royal Decree 1823/2011, which restructures the ministerial departments, establishes that the chair of the Commission is the Secretary of State for the Environment.","The Climate Change Policy Coordination Commission (CCPCC) serves as a coordinating body for the central administration, autonomous communities, and local authorities on climate change issues. Established under Royal Decree 1823/2011, the Commission is chaired by the Secretary of State for the Environment."
Chile,"The tax reform dictates carbon taxation of new car purchases based on Nitrogen oxide (NOx) (heavy) and Field Electron (FE) (more light) emissions, according to Fuel Economy labelling information. The reform also includes a ""green tax,"" a US$5 tax per ton of CO2 emitted from thermal powerplants.","The tax reform introduces a carbon tax on new car purchases that is based on emissions of Nitrogen oxide (NOx) and Field Electron (FE) as indicated by Fuel Economy labels. Additionally, it imposes a ""green tax"" of $5 per ton of CO2 emitted by thermal power plants."
Germany,"Since July 2017, the Federal Government has started funding heat network operators, aiming at either creating low-tenperature heat networks with a high proportion of renewable energies and waste heat or transforming their existing networks into similar, low-CO2 networks. The funding can be provided for covering the cost of feasibility studies as well as the costs of the realisation of the heat networks. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Since July 2017, the Federal Government has been funding heat network operators to establish low-temperature heat networks that utilize a high percentage of renewable energy and waste heat, or to convert existing networks into low-CO2 alternatives. The funding supports both feasibility studies and the implementation costs of these heat networks."
Ukraine,"This law amends the 2003 law on alternative energy sources. It sets the rules for quotas of renewable energy and the related auction and feed-in tariff schemes. (For details, see reference below.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","This policy updates the 2003 law concerning alternative energy sources by establishing rules for renewable energy quotas, as well as auction and feed-in tariff schemes related to those quotas."
Colombia,"This policy seeks to increase the share of EVs in Colombia's transport system. It sets the target of reaching 600,000 vehicles by 2030","The policy aims to boost the adoption of electric vehicles (EVs) in Colombia's transportation sector, with a goal of achieving 600,000 EVs by the year 2030."
Thailand,"This plan aims to foster energy efficiency and to bring energy security to Thailand. It reduces the share of coal in the electricity generation, but also foresees an increase of the natural gas contribution.
The PDP sets a goal of new power capacity of 56,431 MW, of which 18,833 MW is from renewables, 1,933 MW from community hydro and 500 MW from large hydro
The plan was updated in October 2020 and the following changes were made:
1) reduce purchase of electricity from people's solar project due to lack of participants.
2) support energy for all policy considering purchase of electricity from community power plants 2020-2024
3) Delay in Pracharath biomass power plant project
4) increase biogas target from 546 MW to 1,183 MW
5) postpone start date of electricity trading and change the fuel type of large private power plants.
6) Extend life of several power plants to increase stablity in upper nothern provinces.
7) Reduce cost of electricity generation by extending life of low-cost power plants","The policy plan focuses on enhancing energy efficiency and security in Thailand by decreasing coal usage in electricity generation and increasing reliance on natural gas. It establishes a target for new power capacity of 56,431 MW, which includes 18,833 MW from renewable sources, 1,933 MW from community hydro, and 500 MW from large hydro. Updated in October 2020, the plan includes several adjustments: 

1. Reduced electricity purchases from people's solar projects due to low participation.
2. Support"
Sweden,"In 2015, premium of SEK 40,000 for purchase of new car with CO2 emissions lower or equal to 50 g/km.
In 2016, premium lowered to SEK 20,000 for cars with 1-50 gCO2/km (PHEV), but remained SEK 40,000 for BEV. For company cars the premium on BEV is 35% of the price diffrence between the EV and the equivalent fossil car, to a maximum of SEK 40,000 and for PHEV 17.5% of the price diffrence between the EV and the equivalent fossil car, to a maximum of SEK 20,000.
In 2017, premium of SEK 20,000 for cars with 1-50 gCO2/km (PHEV), but remained SEK 40,000 for BEV. Same for company cars. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy provides a premium for purchasing new cars based on their CO2 emissions. In 2015, the premium was SEK 40,000 for cars emitting 50 g/km or less. In 2016, the premium was reduced to SEK 20,000 for Plug-in Hybrid Electric Vehicles (PHEVs) with emissions between 1-50 gCO2/km, while it remained at SEK 40,000 for Battery Electric Vehicles (BEVs). For company cars, the premium"
Eswatini,"With the ratification of the Kigali Amendment, group II parties commit to peak HFCs consumption by 2024 and to gradually phase down in line with the following schedule:
(i) 2024 to 2028: 100 per cent
(ii) 2029 to 2034: 90 per cent
(iii) 2035 to 2039: 70 per cent
(iv) 2040 to 2044: 50 per cent
(v) 2045 and thereafter: 20 per cent","The Kigali Amendment requires group II parties to peak their HFCs consumption by 2024 and progressively reduce it according to the following schedule: 100% from 2024 to 2028, 90% from 2029 to 2034, 70% from 2035 to 2039, 50% from 2040 to 2044, and 20% from 2045 onwards."
Uzbekistan,"The Resolution of the President No. PP-4477 of 2019 on the Strategy for the Transition to a Green Economy for 2019-2030 adopted a strategy of comprehensive measures aimed at transforming, modernising and diversifying the basic sectors of the economy and balanced socio-economic development of territories.
The resolution includes the following targets:
	Reduction of specific greenhouse gas emissions per unit of gross domestic product by 10% from the level of 2010 by 2030
	Doubling energy efficiency and reducing the carbon intensity of gross domestic product
	?Further development of renewable energy sources with bringing their share to more than 25% of the total electricity generation
	Ensuring access to modern, inexpensive and reliable energy supply to 100% of the population and sectors of the economy
	Modernization of the infrastructure of industrial enterprises, ensuring their sustainability by increasing energy efficiency by at least 20% and wider use of clean and environmentally friendly technologies and industrial processes
	A significant increase in the efficiency of water use in all sectors of the economy, the introduction of drip irrigation technologies on an area of up to 1 million hectares and an increase in yield to 20-40% of the crops cultivated on them;
	Increase to 20 - 25% of the average productivity of production of the main types of food agricultural products.?","The Resolution of the President No. PP-4477 of 2019 outlines a comprehensive strategy for transitioning to a green economy from 2019 to 2030. The key targets include:

- Reducing greenhouse gas emissions per unit of GDP by 10% from 2010 levels by 2030.
- Doubling energy efficiency and lowering carbon intensity of GDP.
- Increasing the share of renewable energy sources to over 25% of total electricity generation.
- Ensuring 100% access"
Republic of Korea,"For the purpose of creating short rotation forests for biomass production over 100,000 ha by 2020, the Establishment Plan of Short Rotation Forests for Biomass Production was established in 2009. About 6,116 ha of short rotation forests
for biomass production have been established through fast growing species such as the tulip tree and various other types of poplars as of 2009. (Source: http://unfccc.int/resource/docs/natc/kornc3.pdf)","The Establishment Plan of Short Rotation Forests for Biomass Production was initiated in 2009 with the goal of creating over 100,000 hectares of short rotation forests by 2020. By 2009, approximately 6,116 hectares had been established using fast-growing species, including tulip trees and various poplars."
Pakistan,Executive. Adresses both adaptation and mitigation. Variety of policy measures concerning all sectors.,The policy is an executive initiative that focuses on both adaptation and mitigation strategies. It encompasses a range of policy measures applicable to all sectors.
Lao People's Democratic Republic,Increase the share of renewables to 30% of the total energy consumption by 2025.,The policy aims to raise the proportion of renewable energy sources to 30% of total energy consumption by the year 2025.
Argentina,Law 26.473. This law prohibits both import and commercialization of incandescent light bulbs for residential use throughout the country,Law 26.473 prohibits the importation and sale of incandescent light bulbs for residential use across the country.
Spain,"This Decree establishes the technical and administrative conditions for certification of energy efficiency of buildings and the methodology for calculating its energy efficiency rating. The purpose of the basic procedure is to promote energy efficiency, using information on the energy characteristics of buildings, in the form of an energy performance certificate that must be provided to buyers and users.","This Decree outlines the technical and administrative requirements for certifying the energy efficiency of buildings, including the methodology for determining their energy efficiency rating. Its main goal is to enhance energy efficiency by providing information on the energy characteristics of buildings through an energy performance certificate, which is required to be given to buyers and users."
Japan,"The Basic Energy Plan is a policy document formulated by the Government of Japan under the Basic Act on Energy Policy, which entered into force in June 2002. The plan presents the basic principles of Japans energy policy, namely, safety, energy security, improving economic efficiency, and environment suitability, and shows the basic direction of the energy policy. Since 2003, a new strategic energy plan has been developed every 3-4 years.
METI's 4th Strategic Energy Plan (Basic Energy Plan), released in 2014 calls for nuclear energy to account for 20%-22% of power generation by 2030, with 22%-24% coming from renewable energy sources, while coal's share will be reduced to 26%, LNG's to 27% and oil's to just 3%.
The report, by the Ministry of Economy, Trade and Industry (METI), says that total energy demand in Japan will increase from 940 TWh in 2013 to 980.8 TWh in 2030.","The Basic Energy Plan is a policy document created by the Government of Japan under the Basic Act on Energy Policy, established in June 2002. It outlines the fundamental principles of Japan's energy policy, focusing on safety, energy security, economic efficiency, and environmental suitability. The plan is updated every 3-4 years, with the 4th Strategic Energy Plan released by the Ministry of Economy, Trade and Industry (METI) in 2014. This plan aims for nuclear energy to represent"
United States of America,Adaptation / flood resilience,"The adaptation/flood resilience policy focuses on strategies and measures to enhance the ability of communities, infrastructure, and ecosystems to withstand and recover from flooding events. This includes implementing flood prevention measures, improving infrastructure, restoring natural habitats, and promoting sustainable land use practices. The policy aims to reduce vulnerability, protect lives and property, and ensure the long-term sustainability of affected areas in the face of climate change and increasing flood risks."
Argentina,"Art.1 creates the Environmental and Insurance Sustainability Programme (PROSAS). The programme's objective is to foster investments in new forestry ventures and in the extensions of existing forests which take place in accordance with Law no. 25.080. The programme aims to promote both forestation and enrichment of the native forest with the aim of increasing forest plantations from 1.3 million hectares to 2 million hectares by 2030. To reach 2 million hectares by 2030 would mean expanding forested areas by 62,000 hectares per year.
SPANISH: Esta Resolución conjunta crea el Programa de Sustentabilidad Ambiental y Seguros (PROSAS), con el objeto de promover las inversiones en nuevos emprendimientos forestales y en las ampliaciones de los bosques existentes que se efectúen en el marco de lo dispuesto por la Ley Nº 25.080 de Inversiones para Bosques Cultivados.","The Environmental and Insurance Sustainability Programme (PROSAS) aims to encourage investments in new forestry projects and the expansion of existing forests, in line with Law No. 25.080. The program's goal is to increase forest area from 1.3 million hectares to 2 million hectares by 2030, requiring an annual expansion of 62,000 hectares."
Japan,"Original title: ??????????. Act on Promotion of Global Warming Countermeasures ""entered into the force on 9 October 1998"" and ""serves as a framework for tackling global warming with a coalition among central government, local government, Businesses, and citizens."" (LCS.RNet, 2012)
The 2010 act states its purpose as ""... In order to contribute to the global greenhouse gas emissions reduction and bring about a society that emits as little greenhouse gas as possible, Japan will promote global warming countermeasures while ensuring economic growth, stable employment and stable supply of energy."" It further provides Mid and long term goals for ""Greenhouse gas emissions reduction targets:
-- A reduction of 25% below 1990 level by 2020, premised on the establishment of a fair and effective international framework by all major economies and agreement on their ambitious targets
-- A reduction of 80% below 1990 level by 2050, striving to share with all economies the vision of the goal of achieving at least 50% reduction of global emissions by 2050.""
The Kyoto Protocol Target Achievement Plan (2005), mandated by this Act, stipulated the measures necessary for ensuring the achievement of Japan's 6% reduction commitment under the Kyoto Protocol. It has been approved in the cabinet and has been revised twice, once in 2006 and then in 2008. The Plan for Global Warming Countermeasures, mandated by the Act to supersede the Kyoto Protocol Achievement Target Plan, was adopted in May 2016.","The ""Act on Promotion of Global Warming Countermeasures,"" effective since October 9, 1998, establishes a collaborative framework involving the central and local governments, businesses, and citizens in Japan to combat global warming. The 2010 amendment aims to significantly reduce greenhouse gas emissions while maintaining economic growth, stable employment, and energy supply. It sets ambitious targets of a 25% reduction below 1990 levels by 2020 and an 80% reduction by 2050, with"
Czechia,"Legislative
The Energy Management Act (Act No. 406/2000), which entered into force in January 2001, and was amended in 2006, established standards for energy efficiency of heat and electricity production, transmission, distribution and use, energy planning requirements, energy auditing obligations, energy auditors certification, an energy labelling programme, energy performance of buildings, and inspection of boilers and air conditioning units. The act incorporates relevant regulations of the European Communities. Council Directive 93/76/EEC of September 1993 to limit CO2 emissions by improving energy effiiciency. Directive 2002/91/EC of the European Parliament and of the Council on the energy performance of buildings. The act sets forth a) certain measures towards enhancing the economical use of energy and the obligations of natural and legal persons managing and using energy, and b) the rules applicable to the formulation of the National Energy Policy, the Territorial Energy Policies and the National Programme for Economical Energy Management and Use of Renewable and Secondary Energy Sources. In 2000, the Czech government approved the new Energy Policy, establishing a target of 5%-6% of TPES from renewable energy by 2010 and 8-10% by 2020, in fitting with the EU Green Paper policy. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Energy Management Act (Act No. 406/2000), effective from January 2001 with amendments in 2006, sets standards for energy efficiency in heat and electricity sectors, mandates energy planning and auditing, certifies energy auditors, and implements energy labeling and performance standards for buildings. It aligns with European regulations aimed at reducing CO2 emissions and improving energy efficiency. The act outlines measures for the economical use of energy and specifies rules for developing the National Energy Policy and related territorial policies. The"
Australia,This is a mechanism aimed to ensure Austrlia's domestic gas supply. It requires domestic producers to limit their exports or expand their production in case of supply shortfalls. Amendment 2022: The Mechanism has been extended to 2030.,The policy is designed to secure Australia's domestic gas supply by requiring local producers to either limit exports or increase production during supply shortages. An amendment in 2022 extended this mechanism's duration to 2030.
Brazil,"30% tax on sold cars between 2013-2017 (possible extension), but not for cars meeting 1.82 MJ/km (based on EU 2015 target of 130gCO2/km). Expected vehicle improvement of 12.1%. Additional tax reduction of 1% or 2% if meeting 1.75 MJ/km or 1.68 MJ/km (subsidy). 2012 efficiency is 2.07 MJ/km Target - fuel efficiency of 1.82 MJ/km (19.1 km/l) by 2017 for Light-duty vehicles (incl. passenger cars)","The policy imposes a 30% tax on cars sold between 2013 and 2017, with a potential extension. However, this tax does not apply to vehicles that achieve a fuel efficiency of 1.82 MJ/km, which aligns with the EU's 2015 target of 130gCO2/km. The policy anticipates a 12.1% improvement in vehicle efficiency. Additionally, there are further tax reductions of 1% or 2% for cars meeting even"
Germany,"This programme offers incentives for agribusinesses looking to reduce their emissions, offering up to 900 euros in subsidies per tonne of CO2 reduced.","This program provides financial incentives for agribusinesses to lower their emissions, offering subsidies of up to 900 euros for each tonne of CO2 reduced."
Indonesia,"This policy created a framework for the Feed-in Tariffs in Indonesia. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","This policy establishes a framework for Feed-in Tariffs in Indonesia, aimed at promoting renewable energy development. It is part of the IEA/IRENA Global Renewable Energy Policies and Measures Database."
United States of America,"""The Appliance and Equipment Standards Programs current priority is to realize, by 2030, energy savings from appliance standards avoiding at least 3 billion metric tons of carbon emissions in support of the Presidents Climate Action Plan. Specifically, the current schedule includes:
 2014-2016: Complete 26 standards rulemakings, covering 30 products
 2017-2020: Complete 10 standards rulemakings, covering 12 products"" (DOE, 2016b)
By 2025, the energy use intensity (energy use per square foot the buildings sector will be at least 20% lower than in 2010 (DOE, 2016b)
Efficiency standards already adopted during the Obama administration will reduce CO2 emissions by 2.2 billion metric tons through 2030 (ASAP, 2016)","The Appliance and Equipment Standards Program aims to achieve significant energy savings and reduce carbon emissions by 2030, targeting to avoid at least 3 billion metric tons of carbon emissions as part of the President's Climate Action Plan. The schedule includes completing 26 rulemakings for 30 products from 2014 to 2016 and 10 rulemakings for 12 products from 2017 to 2020. Additionally, by 2025, the energy use intensity in the buildings sector is"
Australia,Applies to gasoline and diesel consumed by heavy vehicles travelling on public roads (OECD 2019).,"The policy pertains to the use of gasoline and diesel fuel by heavy vehicles operating on public roads, as outlined by the OECD in 2019."
"Venezuela, Bolivarian Republic of","Venezuela intends to reduce its greenhouse gas emissions by at least 20% compared to business-as-usual scenario by 2030, conditional upon the fulfillment of developed countries' commitment on finance, technology transfer and capacity building. The INDC document also proposes the implementation of the National Mitigation Plan.","Venezuela aims to cut its greenhouse gas emissions by at least 20% by 2030 compared to a business-as-usual scenario, contingent on developed countries meeting their commitments for financial support, technology transfer, and capacity building. Additionally, the country plans to implement a National Mitigation Plan."
United Kingdom,ESOS is a mandatory energy assessment scheme for organisations in the UK that meet the qualification criteria. The Environment Agency is the UK scheme administrator.,"ESOS (Energy Savings Opportunity Scheme) is a required energy assessment program for qualifying organizations in the UK, overseen by the Environment Agency."
Indonesia,"Ministeri Decree No 1567K/21/MEM/2018
Renewable electricity target of 23% by 2025.","Ministerial Decree No. 1567K/21/MEM/2018 establishes a target for renewable electricity in the energy mix, aiming for 23% of electricity generation to come from renewable sources by the year 2025."
Peru,"The General Environmental Law sets the legal framework for the management of environment in Peru. It establishes principles and basic norms to ensure the protection of the environment. It aims to improve the quality of life of the population, and to promote sustainable development in Peru.
This law regulates activities and actions related to environmental protection.","The General Environmental Law in Peru provides a legal framework for environmental management, establishing principles and norms to protect the environment. Its goals include enhancing the quality of life for the population and promoting sustainable development while regulating activities related to environmental protection."
Philippines,"The Energy Efficiency and Conservation Act creates an Inter-Agency Energy Efficiency and Conservation Committee (IAEECC). This agency will develop projects aiming to reduce energy costs in state-owned and leased buildings and facilities. (source: Climate Action Tracker, https://climateactiontracker.org/countries/philippines/current-policy-projections/)","The Energy Efficiency and Conservation Act establishes the Inter-Agency Energy Efficiency and Conservation Committee (IAEECC), which is responsible for creating projects designed to lower energy costs in state-owned and leased buildings and facilities."
Kuwait,"Renewable energy production of 5% of total energy use, to be achieved by 2020.",The policy aims to achieve a renewable energy production target of 5% of total energy use by the year 2020.
United States of America,"The program encourages the use of methane recovery (biogas) technologies at confined animal feeding operations that manage manure as liquids or slurries. These technologies reduce methane emissions while achieving other environmental benefits. Although the overall impact of AgSTAR on GHG emissions has been comparatively small on a national scale, livestock producers in the dairy and swine sector have demonstrated that the practices can reduce GHG emissions and achieve other pollution control benefits while increasing farm profitability. (http://unfccc.int/resource/docs/natc/usa_nc5.pdf)","The program promotes the adoption of methane recovery (biogas) technologies at confined animal feeding operations that handle manure as liquids or slurries. These technologies help decrease methane emissions and provide additional environmental advantages. While the overall impact of AgSTAR on national greenhouse gas (GHG) emissions is limited, dairy and swine producers have shown that these practices can effectively reduce GHG emissions, enhance pollution control, and boost farm profitability."
Turkey,"""This legislation has the purpose of protecting and improving soil quality, especially in areas deemed at risk of degradation due to climate change. It amends a number of existing laws and regulations by promoting sustainability and adaptation to climate change.
The Ministry of Forest and Water Affairs is tasked with undertaking necessary measures by co-operating with related public agencies and institutions and non-governmental organizations on areas in which land degradation has been identified due to climate change or human settlement, agriculture or industrial activities. ""","The legislation aims to protect and enhance soil quality, particularly in regions vulnerable to degradation from climate change. It modifies existing laws to promote sustainability and climate adaptation. The Ministry of Forest and Water Affairs is responsible for implementing measures in collaboration with public agencies, NGOs, and other stakeholders in areas affected by land degradation from climate change, human settlement, agriculture, or industrial activities."
Germany,"At the heart of the monitoring process for the energy transition is the Monitoring Report, which is published on an annual basis. The purpose of this report is to condense the reams of statistical information on energy that have been collected into a smaller, more manageable number of selected indicators. This information provides a fact-based overview of the current status of progress with regard to implementation of the energy reforms. The main source of this data is official energy statistics.","The Monitoring Report is an annual publication that summarizes extensive statistical data on energy, distilling it into key indicators. Its purpose is to provide a clear, fact-based overview of the progress being made in implementing energy reforms, using official energy statistics as the primary data source."
